year,month,state,residential,HDD_20
1989,1,NM,181.387096774194,18.5581398040408
1989,2,NM,167.714285714286,15.5733552276141
1989,3,NM,107.903225806452,10.1911540102853
1989,4,NM,65.3333333333333,6.60565074940199
1989,5,NM,35.8387096774194,4.16734742201518
1989,6,NM,30.3333333333333,2.36846194689501
1989,7,NM,26.741935483871,1.20114814134697
1989,8,NM,23.6774193548387,1.62409685775685
1989,9,NM,25.5,3.40381382218063
1989,10,NM,29.0,7.73354248351528
1989,11,NM,65.8333333333333,12.8431125794433
1989,12,NM,120.838709677419,18.9137751071715
1990,1,NM,172.58064516129,18.7789678721612
1990,2,NM,169.392857142857,16.5462709229338
1990,3,NM,124.354838709677,11.6167318853348
1990,4,NM,84.7,7.51179400120058
1990,5,NM,53.9032258064516,5.42418670233945
1990,6,NM,34.7666666666667,1.68739449630013
1990,7,NM,25.6451612903226,1.28903774287909
1990,8,NM,24.3548387096774,1.88753013661204
1990,9,NM,27.0333333333333,2.51640156165934
1990,10,NM,30.5483870967742,7.30901880058765
1990,11,NM,62.4666666666667,12.7473751753572
1990,12,NM,121.354838709677,19.817108318584
1991,1,NM,182.709677419355,19.1800608019536
1991,2,NM,170.857142857143,14.2986164870674
1991,3,NM,117.161290322581,12.8384256215548
1991,4,NM,101.0,8.59371272236381
1991,5,NM,55.8709677419355,5.04871096795498
1991,6,NM,35.9666666666667,2.78908734582347
1991,7,NM,28.3870967741936,1.37581956611074
1991,8,NM,25.0967741935484,1.40245790891255
1991,9,NM,27.0333333333333,3.59466022602355
1991,10,NM,33.9354838709677,7.28689110584017
1991,11,NM,64.2,14.6212867760379
1991,12,NM,141.870967741935,17.9952230936411
1992,1,NM,192.516129032258,20.0218771261368
1992,2,NM,185.379310344828,15.0331125606118
1992,3,NM,123.935483870968,11.5753652370479
1992,4,NM,90.7666666666667,7.18594144340792
1992,5,NM,48.8387096774194,4.61087712501892
1992,6,NM,37.4,2.82087661580877
1992,7,NM,29.9677419354839,1.52327852889199
1992,8,NM,27.4516129032258,1.76759747586331
1992,9,NM,29.6333333333333,3.27176527718671
1992,10,NM,33.3225806451613,6.38577981713721
1992,11,NM,66.4,16.1624457286423
1992,12,NM,167.548387096774,19.8441031584025
1993,1,NM,178.774193548387,16.6013081120693
1993,2,NM,164.642857142857,15.2666496322593
1993,3,NM,112.193548387097,11.8668268793585
1993,4,NM,63.0,8.28369133973139
1993,5,NM,31.5806451612903,4.93883516732089
1993,6,NM,14.7333333333333,2.54912617250362
1993,7,NM,31.0967741935484,1.16172517632577
1993,8,NM,27.3870967741936,1.40891377588438
1993,9,NM,30.9666666666667,3.73092381857303
1993,10,NM,64.5161290322581,8.42322864408795
1993,11,NM,145.266666666667,14.768363014016
1993,12,NM,187.193548387097,17.6378625404158
1994,1,NM,155.612903225806,17.5721195484645
1994,2,NM,170.071428571429,16.3893160555265
1994,3,NM,107.290322580645,11.2381812326259
1994,4,NM,68.7333333333333,8.14869652028111
1994,5,NM,34.5161290322581,4.57004764235957
1994,6,NM,31.9,1.55103704249342
1994,7,NM,29.3225806451613,1.0046339811109
1994,8,NM,25.9677419354839,0.953183549082802
1994,9,NM,29.0666666666667,2.98908615713841
1994,10,NM,70.1290322580645,7.88509159953752
1994,11,NM,134.133333333333,13.6531003769588
1994,12,NM,164.0,15.9647159296062
1995,1,NM,172.096774193548,17.2974860842939
1995,2,NM,141.714285714286,12.0745486814396
1995,3,NM,87.0645161290323,11.2108318005864
1995,4,NM,76.0666666666667,9.56185460108481
1995,5,NM,55.9354838709677,5.41233321762463
1995,6,NM,45.7,2.75813114309576
1995,7,NM,24.4193548387097,1.51816679607361
1995,8,NM,26.2903225806452,0.927211275364695
1995,9,NM,27.1333333333333,3.17609396736686
1995,10,NM,42.5483870967742,7.24819031858465
1995,11,NM,100.9,11.0851091199547
1995,12,NM,149.967741935484,16.2150221783216
1996,1,NM,229.129032258065,17.0315780896253
1996,2,NM,159.310344827586,13.0970693151848
1996,3,NM,99.5161290322581,12.6929660525118
1996,4,NM,86.2,8.02806259519348
1996,5,NM,19.6774193548387,3.43270322063127
1996,6,NM,56.7,1.66571362537676
1996,7,NM,52.3548387096774,0.858020740289751
1996,8,NM,26.9677419354839,1.30466373329467
1996,9,NM,28.1333333333333,3.99084248815008
1996,10,NM,42.9032258064516,8.23092568348208
1996,11,NM,122.966666666667,12.7904055422923
1996,12,NM,182.677419354839,16.7578018087444
1997,1,NM,237.709677419355,19.1197764986467
1997,2,NM,202.428571428571,16.139680671689
1997,3,NM,123.741935483871,10.7614540595056
1997,4,NM,50.4333333333333,9.9766274204778
1997,5,NM,63.3870967741936,4.41765723491183
1997,6,NM,7.96666666666667,2.55399532116045
1997,7,NM,26.4516129032258,1.28292874329813
1997,8,NM,27.3870967741936,1.23785035763223
1997,9,NM,27.8666666666667,2.25482061921702
1997,10,NM,39.258064516129,7.86615607855516
1997,11,NM,136.5,13.9159464468537
1997,12,NM,265.064516129032,19.9740262745337
1998,1,NM,258.096774193548,16.9478066982391
1998,2,NM,156.678571428571,16.3874018806118
1998,3,NM,154.064516129032,12.9412365994667
1998,4,NM,86.9666666666667,10.1268740630451
1998,5,NM,41.258064516129,4.88172018450673
1998,6,NM,9.53333333333333,2.73642060095443
1998,7,NM,26.7096774193548,0.938214370960513
1998,8,NM,27.2903225806452,1.27448093675471
1998,9,NM,28.0333333333333,2.10266875801479
1998,10,NM,37.7741935483871,7.03856188789908
1998,11,NM,118.4,12.0329793365279
1998,12,NM,235.451612903226,16.7439502785524
1999,1,NM,209.193548387097,15.5767947054558
1999,2,NM,145.357142857143,13.7533718781495
1999,3,NM,142.354838709677,10.8492069845046
1999,4,NM,80.6333333333333,9.27427220341695
1999,5,NM,52.9677419354839,5.36516441201503
1999,6,NM,37.2333333333333,2.72500783306542
1999,7,NM,30.6774193548387,1.11184923232366
1999,8,NM,25.8387096774194,1.36922518514665
1999,9,NM,34.1333333333333,3.39775772823145
1999,10,NM,73.5483870967742,7.50771686840698
1999,11,NM,136.1,11.203836888992
1999,12,NM,202.032258064516,18.3779015851384
2000,1,NM,166.483870967742,15.7886547470956
2000,2,NM,151.965517241379,13.178805112764
2000,3,NM,110.451612903226,11.6634559998931
2000,4,NM,113.833333333333,7.12391256586129
2000,5,NM,37.0645161290323,3.69157751199058
2000,6,NM,52.5666666666667,1.68042342632542
2000,7,NM,31.2903225806452,0.987334104597373
2000,8,NM,31.741935483871,1.11025458835513
2000,9,NM,40.5666666666667,2.76966061743061
2000,10,NM,80.8064516129032,7.75917661877615
2000,11,NM,155.433333333333,16.5127444977718
2000,12,NM,208.064516129032,17.7018795483975
2001,1,NM,212.806451612903,19.7095944283927
2001,2,NM,240.035714285714,15.218397415593
2001,3,NM,158.41935483871,12.1707032413036
2001,4,NM,107.7,7.64449291013465
2001,5,NM,59.6451612903226,4.08634357083673
2001,6,NM,35.2666666666667,1.97273333145801
2001,7,NM,28.741935483871,0.807008947249855
2001,8,NM,27.3225806451613,1.34001032017298
2001,9,NM,30.1,2.76634228823624
2001,10,NM,35.8709677419355,6.42613581501322
2001,11,NM,63.1333333333333,11.8675803242739
2001,12,NM,152.806451612903,18.2327214185378
2002,1,NM,199.612903225806,17.6136227059665
2002,2,NM,220.321428571429,16.7776817998973
2002,3,NM,161.225806451613,12.743842493383
2002,4,NM,89.1666666666667,6.22454813006643
2002,5,NM,41.258064516129,4.4845217360185
2002,6,NM,32.2666666666667,1.56361981167984
2002,7,NM,26.6129032258065,0.972754748799847
2002,8,NM,26.4193548387097,1.30977847670855
2002,9,NM,27.9666666666667,2.96025939567816
2002,10,NM,37.0967741935484,7.8531128751537
2002,11,NM,89.6333333333334,13.6570995155712
2002,12,NM,158.096774193548,18.1500547553
2003,1,NM,196.129032258065,14.8847206173352
2003,2,NM,181.035714285714,15.6778574409187
2003,3,NM,148.387096774194,12.177319183358
2003,4,NM,102.6,8.18960817260876
2003,5,NM,52.741935483871,4.3021741751473
2003,6,NM,33.6333333333333,2.29595106215569
2003,7,NM,26.9354838709677,0.664907859737946
2003,8,NM,24.3225806451613,1.0331609687679
2003,9,NM,27.1666666666667,2.96965698235379
2003,10,NM,31.4838709677419,5.59213128681366
2003,11,NM,66.8333333333333,12.7624386249094
2003,12,NM,153.741935483871,17.2239280962491
2004,1,NM,197.645161290323,17.125590560473
2004,2,NM,213.793103448276,17.7170449502082
2004,3,NM,163.741935483871,9.6904414633018
2004,4,NM,87.8,8.58109185563154
2004,5,NM,55.7741935483871,4.26927291369104
2004,6,NM,33.2,2.32218989076694
2004,7,NM,28.0645161290323,1.40968210649334
2004,8,NM,26.9677419354839,1.77902368423714
2004,9,NM,28.7666666666667,3.57536622431768
2004,10,NM,38.8064516129032,7.29702073080408
2004,11,NM,89.3666666666667,13.9108943971871
2004,12,NM,165.290322580645,17.8439197489309
2005,1,NM,193.225806451613,15.1204289032278
2005,2,NM,194.285714285714,14.7319766609264
2005,3,NM,148.290322580645,12.9715566749388
2005,4,NM,121.833333333333,8.47372824825961
2005,5,NM,61.0,4.80236794912827
2005,6,NM,35.6666666666667,2.39282296344899
2005,7,NM,28.3870967741936,1.02294960459041
2005,8,NM,26.6774193548387,1.3476562991168
2005,9,NM,28.9666666666667,2.56256183677947
2005,10,NM,34.8709677419355,6.92205545426502
2005,11,NM,70.0,12.2623063771077
2005,12,NM,156.258064516129,17.0970927807213
2006,1,NM,164.612903225806,16.3915306743577
2006,2,NM,180.75,14.9918877984136
2006,3,NM,134.354838709677,11.8961707868889
2006,4,NM,92.2666666666667,6.66814150733235
2006,5,NM,42.3548387096774,3.70324674685498
2006,6,NM,31.4333333333333,1.59541768432086
2006,7,NM,26.8064516129032,0.814729988410817
2006,8,NM,26.4516129032258,1.23088569729285
2006,9,NM,29.5666666666667,4.36088951961315
2006,10,NM,39.258064516129,7.81714742307976
2006,11,NM,82.3333333333333,12.0854104876061
2006,12,NM,156.645161290323,18.5872366789982
2007,1,NM,218.354838709677,20.600699606987
2007,2,NM,224.142857142857,15.7337608689607
2007,3,NM,154.903225806452,10.88071731471
2007,4,NM,86.6666666666667,8.60292645861494
2007,5,NM,61.0322580645161,4.86096259138963
2007,6,NM,37.2666666666667,2.19590770004186
2007,7,NM,28.2258064516129,1.00390568153623
2007,8,NM,27.1290322580645,0.901110293174523
2007,9,NM,28.1,2.50432931500397
2007,10,NM,34.6129032258065,6.8710853037992
2007,11,NM,65.8333333333333,11.942858089646
2007,12,NM,142.129032258065,17.9377523503148
2008,1,NM,225.677419354839,19.6697452686206
2008,2,NM,224.965517241379,15.443167793427
2008,3,NM,149.161290322581,12.2109148678893
2008,4,NM,93.6666666666667,8.92255772664565
2008,5,NM,55.9032258064516,5.3983047354975
2008,6,NM,36.9666666666667,2.11726675375848
2008,7,NM,28.258064516129,1.06028463035421
2008,8,NM,25.9032258064516,1.30966824123611
2008,9,NM,28.7666666666667,3.23793551955297
2008,10,NM,34.9677419354839,7.25898268238761
2008,11,NM,73.9666666666667,12.5708022930692
2008,12,NM,140.483870967742,16.9172417071655
2009,1,NM,194.032258064516,16.5307103491201
2009,2,NM,158.75,14.1540905683525
2009,3,NM,133.0,11.1416713944937
2009,4,NM,107.566666666667,8.87029822342785
2009,5,NM,56.4193548387097,3.74235878276995
2009,6,NM,34.1666666666667,2.2848205821297
2009,7,NM,28.6129032258065,0.938466161338949
2009,8,NM,26.7741935483871,1.50379307752053
2009,9,NM,28.7,3.44143496385637
2009,10,NM,39.0645161290323,8.35520324662033
2009,11,NM,87.1333333333334,12.3778437414559
2009,12,NM,174.774193548387,19.8487967967496
2010,1,NM,216.193548387097,18.7565995437379
2010,2,NM,224.892857142857,17.2567386982087
2010,3,NM,162.322580645161,13.267920804736
2010,4,NM,113.333333333333,8.1371732142881
2010,5,NM,58.6451612903226,5.53858350857395
2010,6,NM,36.0333333333333,1.80313354316773
2010,7,NM,27.0,0.87932059312734
2010,8,NM,26.3548387096774,1.24763455568575
2010,9,NM,27.6,2.31824056870518
2010,10,NM,33.9354838709677,6.3938463032264
2010,11,NM,78.5,13.9904284099312
2010,12,NM,162.41935483871,15.1380223981721
2011,1,NM,209.709677419355,18.7621794898781
2011,2,NM,235.5,17.9217866369441
2011,3,NM,136.032258064516,10.1453179646886
2011,4,NM,76.8333333333333,7.26264635329364
2011,5,NM,52.9354838709678,5.85231228429101
2011,6,NM,38.1333333333333,1.96776156868353
2011,7,NM,28.3225806451613,0.707119486143783
2011,8,NM,25.2903225806452,0.714598912261133
2011,9,NM,28.5666666666667,2.84120132941181
2011,10,NM,38.2903225806452,7.17226632860385
2011,11,NM,89.7333333333333,13.1265583677472
2011,12,NM,177.451612903226,19.962773283133
2012,1,NM,208.225806451613,16.2750676719008
2012,2,NM,184.827586206897,15.8937360900966
2012,3,NM,118.290322580645,11.0973694326474
2012,4,NM,59.1666666666667,6.7895257914934
2012,5,NM,37.6774193548387,4.14269438531668
2012,6,NM,32.4666666666667,1.5626719468094
2012,7,NM,28.258064516129,0.835211292672961
2012,8,NM,29.0,1.05136779003919
2012,9,NM,31.6666666666667,2.99102893031519
2012,10,NM,44.1290322580645,6.86703632961543
2012,11,NM,106.433333333333,11.7733079842365
2012,12,NM,188.096774193548,17.5133106378619
2013,1,NM,246.838709677419,19.7152019383539
2013,2,NM,200.892857142857,17.2331214583354
2013,3,NM,114.516129032258,11.3603263525538
2013,4,NM,71.5333333333333,8.38706744256137
2013,5,NM,47.0967741935484,4.79748982479775
2013,6,NM,31.8,1.54843185443582
2013,7,NM,25.741935483871,0.943748800588551
2013,8,NM,30.1612903225806,1.11474695799678
2013,9,NM,32.5,2.66107521460637
2013,10,NM,57.9677419354839,8.31714038338514
2013,11,NM,122.233333333333,13.5790430828827
2013,12,NM,208.516129032258,18.5051472778005
2014,1,NM,203.774193548387,17.3311740125944
2014,2,NM,170.142857142857,13.9226972708258
2014,3,NM,113.516129032258,11.5616501726601
2014,4,NM,76.4,8.48646631469739
2014,5,NM,48.6129032258065,5.46742838510834
2014,6,NM,34.7666666666667,1.84180946688075
2014,7,NM,30.1935483870968,0.852497538080872
2014,8,NM,29.2903225806452,1.54079168830788
2014,9,NM,27.8333333333333,2.23175836347465
2014,10,NM,41.1290322580645,5.99537535319713
2014,11,NM,114.833333333333,13.5315728840202
2014,12,NM,178.483870967742,16.3354159799127
2015,1,NM,201.58064516129,17.6366424075992
2015,2,NM,179.071428571429,14.1996269679785
2015,3,NM,110.387096774194,10.3820535201893
2015,4,NM,63.9666666666667,8.08904870904425
2015,5,NM,50.7096774193548,5.54682437608437
2015,6,NM,42.0666666666667,1.53417800187817
2015,7,NM,26.0645161290323,1.04506101314074
2015,8,NM,27.0967741935484,1.12619153296498
2015,9,NM,27.6333333333333,2.10977105473123
2015,10,NM,40.2258064516129,5.76708642590148
2015,11,NM,125.3,12.9390720763005
2015,12,NM,200.225806451613,17.4381031756347
2016,1,NM,217.41935483871,18.477960078559
2016,2,NM,171.241379310345,14.0225861822159
2016,3,NM,107.774193548387,10.3709876449935
2016,4,NM,72.6,8.27367761488283
2016,5,NM,49.8709677419355,5.37549497234212
2016,6,NM,36.1666666666667,1.51897542144184
2016,7,NM,27.0645161290323,0.85080907018565
2016,8,NM,25.0,1.6500798017582
2016,9,NM,31.1,2.87055069952325
2016,10,NM,39.1612903225807,5.44923032244225
2016,11,NM,102.266666666667,11.3471056528899
2016,12,NM,190.096774193548,16.624680872697
2017,1,NM,194.322580645161,16.6774948127563
2017,2,NM,149.857142857143,12.8043188692726
2017,3,NM,95.9032258064516,9.34746222094936
2017,4,NM,69.5,8.01991942216642
2017,5,NM,45.4516129032258,5.17891310918598
2017,6,NM,31.7,1.76600600152958
2017,7,NM,27.0645161290323,0.85952855376482
2017,8,NM,26.3870967741936,1.39016945993516
2017,9,NM,28.8666666666667,2.91225538953722
2017,10,NM,48.9354838709678,6.88141288407557
2017,11,NM,95.7,9.92435822124849
2017,12,NM,175.645161290323,16.1087964022683
2018,1,NM,200.161290322581,17.0248933992906
2018,2,NM,164.392857142857,14.3421701947197
2018,3,NM,141.58064516129,11.2519856093294
2018,4,NM,67.3333333333333,7.18190405173206
2018,5,NM,36.0322580645161,3.70424479552679
2018,6,NM,26.6,1.43321830952643
2018,7,NM,25.4193548387097,0.798990934413909
2018,8,NM,27.3225806451613,1.20043381488477
2018,9,NM,26.9333333333333,2.59834978637627
2018,10,NM,56.4193548387097,7.50968757971018
2018,11,NM,161.9,14.4793879018613
2018,12,NM,201.838709677419,17.6703873457878
2019,1,NM,265.225806451613,18.1992509262138
2019,2,NM,236.285714285714,16.4232701969087
2019,3,NM,148.870967741936,11.594872546182
2019,4,NM,87.7333333333333,7.76460578995757
2019,5,NM,57.6129032258065,6.03679624671671
2019,6,NM,36.9333333333333,2.42057959146116
2019,7,NM,32.4193548387097,0.881770101597001
2019,8,NM,34.258064516129,0.987753789777982
2019,9,NM,32.3333333333333,2.16589033157094
2019,10,NM,68.1290322580645,8.68117041935928
2019,11,NM,167.8,13.548277024123
2019,12,NM,232.967741935484,16.9439247260663
2020,1,NM,215.774193548387,17.2985810275463
2020,2,NM,190.413793103448,16.0326174387189
2020,3,NM,148.548387096774,10.5099740913894
2020,4,NM,79.0,7.63369735999632
2020,5,NM,38.3225806451613,3.54890027647924
2020,6,NM,33.8333333333333,1.62020816602331
2020,7,NM,33.6451612903226,0.650283055175256
2020,8,NM,31.1612903225806,0.65498048771633
2020,9,NM,37.6666666666667,3.5807257725969
2020,10,NM,54.2258064516129,7.31253559817691
2020,11,NM,114.366666666667,10.9978381723929
2020,12,NM,219.193548387097,18.2731706719228
2021,1,NM,227.096774193548,17.7915238898735
2021,2,NM,215.892857142857,16.1126012110634
2021,3,NM,165.838709677419,12.3363718936357
2021,4,NM,78.2,7.9610621743295
2021,5,NM,49.4516129032258,4.01359370041191
2021,6,NM,35.8666666666667,1.32318211034749
2021,7,NM,27.258064516129,0.695825856544959
2021,8,NM,26.3548387096774,1.02334308140204
2021,9,NM,30.8,2.15275424801537
2021,10,NM,50.1935483870968,7.21426903649234
2021,11,NM,103.533333333333,11.025998457186
2021,12,NM,165.516129032258,14.7201651664603
2022,1,NM,211.0,17.5046491605183
2022,2,NM,210.142857142857,17.8152974368379
2022,3,NM,134.612903225806,12.513453038781
2022,4,NM,66.6666666666667,7.19114969977367
2022,5,NM,42.0322580645161,3.87143706558086
2022,6,NM,34.6,1.33894866248851
2022,7,NM,28.9354838709677,0.508833981367058
2022,8,NM,30.8709677419355,0.913050947852942
2022,9,NM,27.0,2.03327871773375
2022,10,NM,54.1612903225807,7.46124153986323
2022,11,NM,167.933333333333,15.0385420419239
2022,12,NM,203.322580645161,16.8662526649265
