year,month,state,residential,HDD_20
1989,1,AL,238.903225806452,10.1416399527742
1989,2,AL,251.571428571429,11.7631937178503
1989,3,AL,238.451612903226,7.03138913729541
1989,4,AL,157.4,5.42461922143925
1989,5,AL,92.1290322580645,2.37501042912956
1989,6,AL,56.9666666666667,0.270570239371673
1989,7,AL,47.0,0.0282048312581817
1989,8,AL,44.6129032258065,0.278548297627815
1989,9,AL,46.8,1.18431644908103
1989,10,AL,60.0645161290323,4.69945986591884
1989,11,AL,121.533333333333,8.29393725809922
1989,12,AL,233.548387096774,16.7122520214547
1990,1,AL,351.387096774194,10.4106952984385
1990,2,AL,231.892857142857,7.83883127660299
1990,3,AL,169.483870967742,6.50563631240249
1990,4,AL,138.1,5.00003433556778
1990,5,AL,85.7096774193548,1.96671601086692
1990,6,AL,54.1666666666667,0.408939525996395
1990,7,AL,45.5161290322581,0.113678366316501
1990,8,AL,43.0322580645161,0.145404318516467
1990,9,AL,45.2,1.07462169005559
1990,10,AL,49.3225806451613,4.283713724562
1990,11,AL,112.0,7.12313652872525
1990,12,AL,172.741935483871,10.00790692528
1991,1,AL,235.451612903226,12.566956891402
1991,2,AL,297.392857142857,10.1518705386557
1991,3,AL,216.903225806452,7.11802402335048
1991,4,AL,129.7,2.85421558177859
1991,5,AL,66.4193548387097,0.789283884434265
1991,6,AL,52.7666666666667,0.260807773616005
1991,7,AL,46.258064516129,0.0078504946224527
1991,8,AL,44.1290322580645,0.149982617731243
1991,9,AL,46.3,1.20138385727062
1991,10,AL,57.8387096774194,3.76136416576314
1991,11,AL,129.533333333333,10.1674144120935
1991,12,AL,206.322580645161,10.4501623932053
1992,1,AL,283.129032258065,13.4963929792267
1992,2,AL,319.551724137931,9.70710865168913
1992,3,AL,180.806451612903,7.99116607241064
1992,4,AL,167.066666666667,5.11790715846686
1992,5,AL,87.5483870967742,2.64666725827953
1992,6,AL,59.0666666666667,0.632599732070861
1992,7,AL,45.9032258064516,0.0184297325764394
1992,8,AL,42.2903225806452,0.455584111449573
1992,9,AL,45.7666666666667,0.770389214527374
1992,10,AL,55.741935483871,4.37025399816544
1992,11,AL,113.4,8.92464694568978
1992,12,AL,234.225806451613,11.8525830405949
1993,1,AL,261.612903225806,11.0161155641051
1993,2,AL,292.464285714286,12.5593803565528
1993,3,AL,281.161290322581,9.69864133135169
1993,4,AL,188.933333333333,5.95260190445123
1993,5,AL,91.8709677419355,2.04429531290506
1993,6,AL,54.7,0.338671421541367
1993,7,AL,46.1290322580645,0.0254310778079435
1993,8,AL,42.8387096774194,0.0429274890966151
1993,9,AL,44.3333333333333,1.15353780346063
1993,10,AL,49.2258064516129,4.43909073447227
1993,11,AL,128.433333333333,9.37906068479947
1993,12,AL,217.0,12.9045220829055
1994,1,AL,345.612903225807,15.3570171764637
1994,2,AL,380.464285714286,10.4699392173124
1994,3,AL,223.709677419355,7.62257305596537
1994,4,AL,151.9,3.79492363344504
1994,5,AL,71.2258064516129,2.39416501654012
1994,6,AL,51.4,0.0957005441687031
1994,7,AL,43.9032258064516,0.0957014065526465
1994,8,AL,42.6774193548387,0.182368217855125
1994,9,AL,44.1666666666667,1.22566743327138
1994,10,AL,48.2258064516129,3.42530500922341
1994,11,AL,86.7333333333333,6.21310069260747
1994,12,AL,162.387096774194,10.3225412497862
1995,1,AL,268.967741935484,12.9305860026849
1995,2,AL,328.571428571429,11.893000904148
1995,3,AL,244.709677419355,6.51658914593998
1995,4,AL,123.066666666667,4.24294338087919
1995,5,AL,71.1612903225807,1.48815832374089
1995,6,AL,52.1666666666667,0.689149058333853
1995,7,AL,45.1935483870968,0.0594475570517339
1995,8,AL,41.9032258064516,0.0055122955556151
1995,9,AL,42.6333333333333,1.11516162367135
1995,10,AL,49.741935483871,4.02080776766835
1995,11,AL,130.066666666667,10.4744471419235
1995,12,AL,243.967741935484,13.3467912548684
1996,1,AL,351.387096774194,14.063969938241
1996,2,AL,386.965517241379,12.4256576929394
1996,3,AL,259.709677419355,10.1952315518238
1996,4,AL,210.7,5.69314410143761
1996,5,AL,95.0967741935484,1.33956979570764
1996,6,AL,49.0666666666667,0.368973361939306
1996,7,AL,41.7741935483871,0.0964879169720599
1996,8,AL,39.5806451612903,0.119815711968791
1996,9,AL,44.0333333333333,1.23689182631668
1996,10,AL,53.1290322580645,4.11200043330773
1996,11,AL,115.366666666667,8.96566452226912
1996,12,AL,214.967741935484,10.9086415817008
1997,1,AL,300.709677419355,12.7710055120104
1997,2,AL,326.035714285714,10.1296216200661
1997,3,AL,172.387096774194,5.24967950931933
1997,4,AL,106.366666666667,5.88415838230872
1997,5,AL,85.4193548387097,2.75945696728276
1997,6,AL,53.6333333333333,0.623696673432426
1997,7,AL,45.0645161290323,0.0515995890179015
1997,8,AL,40.0645161290323,0.34398153247684
1997,9,AL,41.8,0.859957788210829
1997,10,AL,46.4516129032258,4.55394584092775
1997,11,AL,132.566666666667,10.2404641840424
1997,12,AL,256.193548387097,13.2313207541796
1998,1,AL,312.354838709677,11.5788042800923
1998,2,AL,329.142857142857,11.0050590438274
1998,3,AL,241.483870967742,9.04780870080897
1998,4,AL,152.8,4.69468576578451
1998,5,AL,75.9354838709677,1.26527892312638
1998,6,AL,46.4666666666667,0.292574833378066
1998,7,AL,39.0967741935484,0.0032344185958781
1998,8,AL,38.1612903225807,0.104176596272593
1998,9,AL,39.8666666666667,0.391096779435186
1998,10,AL,42.5806451612903,3.1397723484268
1998,11,AL,82.2666666666667,6.307936651029
1998,12,AL,143.451612903226,9.96498019483131
1999,1,AL,290.903225806452,10.8209564296895
1999,2,AL,220.035714285714,9.69654764062511
1999,3,AL,206.225806451613,9.10561006183636
1999,4,AL,129.733333333333,3.01625246181059
1999,5,AL,60.4193548387097,1.99749531914356
1999,6,AL,45.2333333333333,0.25007707290251
1999,7,AL,40.6129032258065,0.0151977228685587
1999,8,AL,36.3225806451613,0.0991332376427328
1999,9,AL,39.5,1.4101813341575
1999,10,AL,50.3225806451613,4.10649804699742
1999,11,AL,102.3,7.06764731839214
1999,12,AL,185.612903225806,11.960754510106
2000,1,AL,279.709677419355,12.5325704973326
2000,2,AL,335.034482758621,9.46570687694616
2000,3,AL,155.0,6.1686526888757
2000,4,AL,115.7,5.39011206416565
2000,5,AL,74.8387096774194,1.03493747600463
2000,6,AL,46.1,0.410480005044321
2000,7,AL,40.2258064516129,0.0935890193241693
2000,8,AL,37.9032258064516,0.123260084575557
2000,9,AL,40.0666666666667,1.12588082884031
2000,10,AL,56.8064516129032,3.97527116569108
2000,11,AL,100.166666666667,9.24614979930826
2000,12,AL,280.193548387097,16.288377014965
2001,1,AL,435.161290322581,15.247994067888
2001,2,AL,320.964285714286,9.37067041726804
2001,3,AL,189.258064516129,9.65830381459896
2001,4,AL,159.566666666667,3.65857778996848
2001,5,AL,63.4838709677419,1.71202294888529
2001,6,AL,44.9333333333333,0.37010317120007
2001,7,AL,38.5161290322581,0.0678274248414419
2001,8,AL,38.2258064516129,0.0807262071668564
2001,9,AL,38.8,1.47358706630449
2001,10,AL,55.0322580645161,5.29424524900955
2001,11,AL,102.5,5.95555347235356
2001,12,AL,144.193548387097,10.1077026035934
2002,1,AL,301.612903225806,12.1101153692205
2002,2,AL,285.035714285714,12.6282961452898
2002,3,AL,237.064516129032,8.28970898042142
2002,4,AL,116.133333333333,3.09022987687208
2002,5,AL,54.4516129032258,2.05621537295561
2002,6,AL,48.2,0.29868414269022
2002,7,AL,37.0967741935484,0.0071607873488427
2002,8,AL,36.1935483870968,0.0611887023427706
2002,9,AL,37.6666666666667,0.214694651178064
2002,10,AL,39.5161290322581,2.27851631629099
2002,11,AL,96.3333333333333,9.69147270543034
2002,12,AL,247.322580645161,12.9434792860762
2003,1,AL,339.645161290323,15.9326900690227
2003,2,AL,364.964285714286,11.6332995227189
2003,3,AL,194.774193548387,6.5943391725808
2003,4,AL,108.433333333333,4.0853237439999
2003,5,AL,61.5806451612903,1.21877142839889
2003,6,AL,43.9,0.46159723692874
2003,7,AL,37.7096774193548,0.0507835404911497
2003,8,AL,36.2258064516129,0.0194838427355724
2003,9,AL,37.2,1.1111427224632
2003,10,AL,46.8387096774194,3.8111086608668
2003,11,AL,71.9666666666667,6.40264104225231
2003,12,AL,202.838709677419,13.4820483622019
2004,1,AL,324.0,13.5517091804411
2004,2,AL,324.137931034483,12.9242026716489
2004,3,AL,195.548387096774,6.05217660481322
2004,4,AL,109.866666666667,5.06895049744458
2004,5,AL,63.2258064516129,1.1897612113764
2004,6,AL,40.5333333333333,0.189912208516191
2004,7,AL,36.7096774193548,0.071339243743057
2004,8,AL,34.5806451612903,0.436514372491479
2004,9,AL,37.4666666666667,0.714359729382849
2004,10,AL,40.0322580645161,1.98625583967752
2004,11,AL,62.9,6.2087763356904
2004,12,AL,174.838709677419,12.8604457445368
2005,1,AL,264.903225806452,10.7852852666699
2005,2,AL,273.928571428571,9.81423821414123
2005,3,AL,190.774193548387,8.72646821035916
2005,4,AL,120.0,4.80630836706513
2005,5,AL,65.4193548387097,2.55109173521142
2005,6,AL,43.7666666666667,0.223613275001538
2005,7,AL,36.1290322580645,0.0104880919043317
2005,8,AL,33.8064516129032,0.0099015326910579
2005,9,AL,35.2,0.431424993937248
2005,10,AL,36.6774193548387,4.20940756765311
2005,11,AL,88.0333333333333,7.48147294447318
2005,12,AL,203.806451612903,13.9759766325173
2006,1,AL,252.838709677419,9.73818302536779
2006,2,AL,228.642857142857,12.6272634232467
2006,3,AL,172.161290322581,7.52139445136406
2006,4,AL,100.2,2.81478177413356
2006,5,AL,43.1290322580645,1.89502606185585
2006,6,AL,38.2333333333333,0.473163127121403
2006,7,AL,31.8064516129032,0.0389050622358508
2006,8,AL,29.2903225806452,0.007209414354686
2006,9,AL,30.4333333333333,1.25845389599625
2006,10,AL,39.4516129032258,4.92078764884535
2006,11,AL,107.6,8.66788954418461
2006,12,AL,187.290322580645,10.6272907283476
2007,1,AL,196.387096774194,12.1839165824822
2007,2,AL,289.928571428571,13.3494596525353
2007,3,AL,173.161290322581,5.82094713811461
2007,4,AL,85.4,5.66513325852386
2007,5,AL,58.4193548387097,1.71071584572776
2007,6,AL,36.1,0.25930456980966
2007,7,AL,30.1612903225806,0.0588078731242498
2007,8,AL,28.258064516129,0.0025943131570477
2007,9,AL,29.4333333333333,0.571539835927311
2007,10,AL,31.9354838709677,3.18889272348304
